domain,username
747102,1
892598,1
Giovanni.Fabiano,1
Hex-E2 80 8F 53 33 32 34 38 32 39 40 70 6F 6C 69 74,1
POLITO.GUEST,1
POLITO.IT,2
Polito.it,1
S4655389,2
SU.SE,1
Ugent.be,1
ad.umu.se,1
alumno.upv.es,1
alumnos.upm.es,15
alumnos.uvigo.es,1
anonymous,10
antonio.sciarrillo,1
bme.hu,2
bupt.edu.cn,2
campus.unimib.it,2
centrale-marseille.fr,1
chalmers.se,8
civil.auth.gr,1
correo.ugr.es,1
dario.magliacano,1
dauphine.fr,1
dhbw-loerrach.de,1
ds.units.it,3
dtu.dk,1
ecs-nodes.eu,2
edu.ulisboa.pt,2
edu.unife.it,1
edu.unito.it,31
eduroam.mwn.de,2
etu.univ-lorraine.fr,1
eur.nl,1
fct.unl.pt,2
fe.up.pt,3
gi.vellucci,1
giulia.barletta,1
giulio.lucci,1
ic.ac.uk,1
iit.it,2
inrim.it,3
insa-lyon.fr,2
itu.edu.tr,2
kingston.ac.uk,1
kth.se,7
liu.se,1
liverpool.ac.uk,2
lo.maffia,1
lu.se,2
m.aronne,1
marun.edu.tr,1
metu.edu.tr,1
mpiwg-berlin.mpg.de,1
muet.edu.pk,1
netti,1
ntnu.no,5
nus.edu.sg,2
ozu.edu.tr,3
paula.todoric,1
polimi.it,5
polito.guest,66
polito.it,2090
pollub.edu.pl,2
polytechnique.fr,1
postgrad.plymouth.ac.uk,2
rhrk.uni-kl.de,1
s86682,3
sck.be,2
sissa.it,1
staff-net.ethz.ch,2
stud.ntnu.no,1
student-cs.fr,3
student.dtu.dk,2
student.rug.nl,1
student.tuwien.ac.at,2
studenti.poliba.it,3
studenti.polito.it,11387
studenti.unica.it,3
studenti.unich.it,1
studenti.unime.it,1
studenti.unimi.it,4
studenti.unipd.it,13
studenti.unipr.it,3
studenti.uniroma1.it,1
studenti.unisa.it,17
studenti.unito.it,1
studio.unibo.it,3
suu.edu,1
tecnico.ulisboa.pt,2
tedu.edu.tr,2
tr.pte.hu,2
tu-berlin.de,2
tudelft.nl,2
uca.fr,1
ufrgs.br,1
uji.es,1
ulpgc.es,1
unesp.br,1
unex.es,1
uni-freiburg.de,1
unich.it,2
unifi.it,6
unimi.it,1
unimore.it,6
unipa.it,1
unipv.it,4
uniroma1.it,1
uniroma2.it,1
unitn.it,3
unito.it,2
univ-lemans.fr,1
univpm.it,1
unizar.es,3
upc.edu,1
upm.es,1
usp.br,2
usp.ceu.es,1
utbm.fr,1
utdallas.edu,2
vub.be,2
vuw.leidenuniv.nl,1
zju.edu.cn,1
