,mac_user,username,domain,rssi,snr,byte_rx,byte_tx,class
0,1:29:10:7d:b2:ae,9adee01ba0fe20136442a8a6d7ed5dad,studenti.polito.it,-72.0,25.0,168754060.0,18674733.0,Students
1,1:29:10:c5:a6:7c,3ec76452de4033bd2d0ca05946f72665,studenti.polito.it,-55.0,39.0,125012266.0,27361118.0,Students
2,1:29:10:c9:6d:43,38817cdc411b395ffcd35b252a3f035c,studenti.polito.it,-50.0,46.0,954463.0,1253354.0,Students
3,1:2d:e6:d:8e:2a,b1170532acc3d946c98b2df20a876b57,studenti.polito.it,-78.0,15.0,129533.0,64691.0,Students
4,1:2d:e6:38:b5:82,e9195e3be576f95ecdeada12df36f919,studenti.polito.it,-52.0,40.0,5473094.0,798265.0,Students
5,1:2d:e6:5d:5:71,6ed161a1332716f8a482ef305ced157e,studenti.polito.it,-55.0,37.0,1209730518.0,42425377.0,Students
6,1:3b:bc:b8:c3:2a,0f36cd21983123772a977f68ca7e0b19,studenti.polito.it,-59.0,34.0,361359694.0,12683102.0,Students
7,1:40:14:59:12:6,2ca866e3f30f5e3a33b0f2b2fe919a6b,studenti.polito.it,-75.0,17.0,28600885.0,711704.0,Students
8,1:40:14:5a:5f:d8,7985e3ee5991e86f2c74b434347cc356,studenti.polito.it,-71.0,14.0,5746.0,414.0,Students
9,1:40:14:73:6d:ff,51ae23b091ed64786ae6a79b84b71132,studenti.polito.it,-50.0,39.0,315650759.0,11644078.0,Students
10,1:40:14:84:bd:37,22b77fd478d251d9625d01261c8ed7c9,polito.it,-51.0,40.0,511444.0,352682.0,Professor
11,1:40:14:97:f1:4d,59adee760b2ab710ed4ff3d4d4db3cf4,studenti.polito.it,-76.0,13.0,94082725.0,9659568.0,Students
12,1:40:14:a8:b3:bd,7a0ae0658126a18d224fc717d9440e47,studenti.polito.it,-60.0,31.0,210788457.0,2217295.0,Students
13,1:40:14:b0:44:f3,3c1f6026db2e8ec24bc5436265b44539,studenti.polito.it,-46.0,45.0,624215.0,298301.0,Students
14,1:40:14:d9:eb:26,e5e37244935d90b8ee9866cd62de08c3,studenti.polito.it,-43.0,49.0,87942518.0,124036201.0,Students
15,1:40:a3:15:2e:aa,35c22545677c24598a2037bdf07ed056,studenti.polito.it,-53.0,41.0,12738187.0,1555801.0,Students
16,1:40:a3:1e:c5:f0,fa023b4e79fc56f722673e21e84c0a2e,studenti.polito.it,-59.0,35.0,3602900.0,2618364.0,Students
17,1:40:a3:3e:64:8c,51e2bf28deb8c37e00a42d855f5eeb98,studenti.polito.it,-57.0,31.0,1447066802.0,18706851.0,Students
18,1:40:a3:48:c:52,5d5c98c117f3c01161c7d9f00fd6cd3e,polito.it,-83.0,9.0,3118668.0,2343472.0,Professor
19,1:40:a3:55:84:32,68a5d1ebe24de1c75d5f1790bcc06936,studenti.polito.it,-51.0,43.0,124927452.0,14028803.0,Students
20,1:40:a3:70:b1:71,936508feaa75a9dbb980666491130594,studenti.polito.it,-43.0,49.0,222176673.0,4711130.0,Students
21,1:40:a3:cd:5b:d3,1e98ec4ccf1040f0ea0d2d7b5b89b07d,polito.it,-56.0,36.0,244391384.0,75919684.0,Professor
