,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,class
0,1d1bc306bbf3203e8d798f0d1bba9d88fc9ae893899127a39903ef2ee2bbb2c3,bf91946db48a782cb5a69a93a3c4c26f9ce36b6c84b99745b1a3581eac3dbbcf,studenti.polito.it,-72.0,25.0,168754060.0,18674733.0,Students
1,979bf0d85472e5d8f886d136446fc9ac4c20cb3f50c3dbf5ada0e63f5cff65b0,2288f665cbc8c49d8d2ad68f8ea343b6f632389c94d1c25f35611c35dae19565,studenti.polito.it,-55.0,39.0,125012266.0,27361118.0,Students
2,6be875df56f63e5f43f15c1b4120be2c1115946355e8c363795e06bea71183ae,e85fb763779b9a1e30dbc56e0daec98500b4753cfde2139f79bdd1243887f9e2,studenti.polito.it,-50.0,46.0,954463.0,1253354.0,Students
3,3c3c90695ec3bfc625b01378d4db24026c2358aee497f065d50a472888686583,8bf01af37c630f5c95d2442e44401e7da4100217416bfbedc68477625a2d9017,studenti.polito.it,-78.0,15.0,129533.0,64691.0,Students
4,3b08e91be46ac87d5f37e5ff8560b48f376427c7b4193c91648a3e67c2eeeeb1,26bcca434542d9fc68158d49b99b9aa5c7a7d19aea9aba03c097e90dd35f490f,studenti.polito.it,-52.0,40.0,5473094.0,798265.0,Students
5,32ae9c93cf47632b9916deef934526b1ae863d3f23c6eda4eec6a8343b624a4b,80a203063e5a38d528a671907d99153ab95711f8978178986d576ff29c61e4b2,studenti.polito.it,-55.0,37.0,1209730518.0,42425377.0,Students
6,0406ce9370061fff92a77e23da31e5904ee3e7bceabf96213b3e27b014f660df,a9dc03f9a12f851a1456f61e1c77719528eb8f041614c410e03e7ce542aaaf9f,studenti.polito.it,-59.0,34.0,361359694.0,12683102.0,Students
7,8ec5da5171d46ab370b1430e7a4acd4abcd44e33ffc670c9f56b577c36eb5a54,1988d8b48ee3d7d11219f0d4fc5515aa6b5cb2b8994d9a4b9553f2d0e645f508,studenti.polito.it,-75.0,17.0,28600885.0,711704.0,Students
8,80c76dfedf534549717b1574c1ac26524b88e5e7ee77f413691731a1352b7cae,1a2b9d610fcd2660798d85fd257ca075d25d3d4b1bf7bf07d820a4a7b45d06e1,studenti.polito.it,-71.0,14.0,5746.0,414.0,Students
9,247c303f68d47f5ab4d2ec703fce7f7ee843c9894722c29b3598aecd047855b2,bf6d44c841e07e8e90b11e249aafb839e379e7b16fca939b61ff25977f9b80f7,studenti.polito.it,-50.0,39.0,315650759.0,11644078.0,Students
10,f8a4bfce8109839c14b406425369b6dafa9db7c0d663ed93db2c12b028a56228,6362a3ff75e09f8ac00a8150b5fb942ca5f98a4d6ad63d742aca2003f00f850a,polito.it,-51.0,40.0,511444.0,352682.0,Professor
11,d2fe7345dac9e8c8c4a13bc1497c53e2a335a3f8f9e154312161a3dd9e23c02d,8613dc55685da198979b74743cc45aa4b2e0cff983199520b6f3fb6fd2a3d321,studenti.polito.it,-76.0,13.0,94082725.0,9659568.0,Students
12,7005c79157155a9d9d7b55aa07657fef23024069b1242fed9d082b245947f98a,aef32b655f5972e6b12896a4109cea073d64be127d78933fe54305a9d2d57305,studenti.polito.it,-60.0,31.0,210788457.0,2217295.0,Students
13,9332a93098cdba3cbb56b44fe8e6d42fb557d94f6e23c944419c3d4682cd0cd7,dc7d969e0bf9cb52a9e4ada418492ed9c25b8a00e7c72ab838512c4bb5f7a3db,studenti.polito.it,-46.0,45.0,624215.0,298301.0,Students
14,5f8244f8ce5ce77e6afddffa9b8908edb416df3772f35543910c6bc233851e8c,27ffdca61a075b5208a86e4300bb37f62b61f39baf9cbdd9e2a44a9e7fe9496d,studenti.polito.it,-43.0,49.0,87942518.0,124036201.0,Students
15,c346ee3ac1c7caaf47f17615ea76b72c3c1c661f1675239e3637c06198a03b0a,3d081ef4a6ec2719111450a5265895a17af5bb17efe0e6f1fb53d04b43b90025,studenti.polito.it,-53.0,41.0,12738187.0,1555801.0,Students
16,e8118adc1bcb2b7ee8f3c9d7f4f7d1ae956e2ea4f1b8f951abfa981c11f8b9ca,fb03a4a07c4eeb2e86cb145e0d5797cfbf4ae4913a87589848c2ee078e4cd151,studenti.polito.it,-59.0,35.0,3602900.0,2618364.0,Students
