,Timestamp_x,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,client_type,name_ap,class,Timestamp_y,code_ap,ch_2_4,ch_5,ch_utilization_2_4,ch_utilization_5,noise_2_4,noise_5,tx_power_2_4,tx_power_5,n_clients_2_4,n_clients_5
0,1710161971.7304018,2a1863539375f04b15450384814d386ca7bbac719530369412f28dfffe538986,78b7fac915f85c535f8abf70ee5e89c481645efb066be59a05b68668138c79c9,kth.se,-60,36,3193282.0,1531448,10.0,AP-DIASP06,External,1710161985.8790772,136.29.252.43.19.112,1,64,31,15,-85.0,-94.0,2,1,4,16
1,1710161971.7304018,3d4408db0ea58f44fbd8c918b709018e2bd1a3acb4a07831147f3cb45634f284,ceb401caef1174b687bb1b52955d0f59517e76b528ff8d950bc53b0166346213,studenti.polito.it,-60,31,1101625.0,1576180,10.0,AP-AULA4T-02,Student,1710161985.8790772,100.246.157.96.250.16,1,40,52,1,-76.0,-88.0,5,1,0,16
2,1710161971.7304018,2cceb2a6d155ee35d959719a3f401677bfa6a3c932608b9ee689f6ce8d99e5da,61163dc50851b5985645ece47a061ca8630c9b40a342624d992ce54efe6dd307,studenti.polito.it,-46,43,15779870.0,12957867,6.0,AP-LAIB3-01,Student,1710161985.8790772,24.128.144.202.102.176,6,52,68,24,-82.0,-82.0,5,2,5,37
3,1710161971.7304018,841db867d839581cfdc01603b8ba7ca6a8c61d4c2d0ce412bdbcc5fc144930e6,bce77d9237a6b93b41ec345b965a6748e6221b089f115396ad602dd9fe108fcf,studenti.polito.it,-62,31,29666860.0,6829882,10.0,AP-AULA3I-02,Student,1710161985.8790772,0.53.26.121.105.80,6,100,32,7,-93.0,-93.0,5,2,3,33
4,1710161971.7304018,76a20c378bcdba10e104645fa725cd7bfc64169d641ff9fa52c3124e4b751641,7ae3de181df73bb8e3d646bd63baac84c386403e54a3b709e05feb22e33a278b,studenti.polito.it,-54,23,639618179.0,9681869,6.0,AP-AULA23-TM-01,Student,1710161985.8790772,100.246.157.41.242.48,11,36,10,19,-73.0,-91.0,3,1,6,24
5,1710161971.7304018,5dba0d02e1cd15c4c889c1d8678c2ee8ad3fc2cbfdc2170a21e0670526236eef,cb944d9d76ac80809f5e3d59b9d934ddde1c2197e407caf8db7a170670b479b3,polito.it,-73,23,178769565.0,95843157,10.0,AP-CAPETTI-TD-XP01-01,Staff,1710161985.8790772,176.170.119.75.251.32,1,100,49,22,-97.0,-95.0,1,1,5,13
6,1710161971.7304018,310d67dfe71383a12473ad2e44a78d36a4204885e8d302c8657202bd2967c96e,4c3dab50f5988a374b02b775d549980242902c681aaedf9979f61820d745e9ad,polito.it,-60,35,110608499.0,13324233,6.0,AP-COV-C3A-XP03-02,Staff,1710161985.8790772,100.246.157.123.103.192,6,60,61,3,-90.0,-90.0,5,6,1,1
7,1710161971.7304018,5e49c545059777261a85f75e99997fa400fead3e1309bce8431da84e5b5304a3,f86c4fc565faeba14f7aad8edbad7b25155f513b5b708d3dc4814322255a19ef,epfl.ch,-60,33,526917525.0,8483523,10.0,AP-VALE-BCA-03,External,1710161985.8790772,64.1.122.163.105.208,11,100,52,3,-92.0,-92.0,3,1,1,19
8,1710161971.7304018,cd0026c219cd166e3367a55e19c0a45894bdca14061fda7258759d35540987a0,4d8f374bcba3d0fd7e0f041378b381371fbf849a5115417b4581e05682822b33,polito.it,-62,31,245894819.0,117076958,6.0,AP-VALE-CHEVA12,Staff,1710161985.8790772,136.29.252.7.238.176,6,44,12,0,-93.0,-85.0,6,4,2,1
9,1710161971.7304018,c40a39ee4c8389c0b1de1ee5ab250523962c5d904986cfdfc197e1f821239827,c07a3aa124b3d99f25d25ea205c21fc3e766f46c20ac1e7e7e29aa8ffeb79a32,studenti.polito.it,-49,42,91523327.0,6157493,10.0,AP-SALASTUDIO4-01,Student,1710161985.8790772,0.53.26.125.5.240,6,100,60,28,-90.0,-93.0,4,1,5,43
10,1710161971.7304018,4c8513f5d2964909e4de5c51e7e89fe2223245eb37f09217ba4424a4bc1b6377,0ca05924845e70ed135e133f567e443acb410c9497399db669a85ef666776de6,polito.it,-72,22,81204035.0,290044506,10.0,AP-DIASP04,Staff,1710161985.8790772,24.128.144.210.248.16,1,52,37,3,-88.0,-94.0,4,1,3,4
