,Timestamp_x,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,client_type,name_ap,class,Timestamp_y,code_ap,ch_2_4,ch_5,ch_utilization_2_4,ch_utilization_5,noise_2_4,noise_5,tx_power_2_4,tx_power_5,n_clients_2_4,n_clients_5
0,1710323044.979612,b58480d149fbc6cfe5bf22d36dc6b74feda46a67c3356a50ec948a3d4091ef01,b9de85410a105406bb40b09f1d807b6fc00a4cb679fe358e28b40047870317ea,studenti.polito.it,-58,35,331032228.0,3644699.0,6.0,AP-AULA1P-04,Student,1710323057.5084648,64.1.122.240.137.176,1,112,46,39,-76.0,-91.0,5,6,2,12
1,1710323044.979612,eb81caac76329e3cae738f9da2fe0cd889ade065c6987692ae793edbd813d82d,f0cbbb65cad6f1871ad8d9de6619814e772d08e5715ddb9542c9e7a440a2f20c,kth.se,-50,30,45247902.0,5083429.0,6.0,AP-DIASP06,External,1710323057.5084648,136.29.252.43.19.112,1,64,36,4,-87.0,-95.0,1,1,28,22
2,1710323044.979612,3a2c1993f22da85a8ce409353dfeab352bc68196904b67682b42cfa5c03b9a9a,72ee764036be3bead9a8cf581155a8bbe76a06d364f39f389026d4c289635db6,studenti.polito.it,-54,43,1940667.0,592832.0,10.0,AP-AULA29-03,Student,1710323057.5084648,208.114.220.176.97.192,6,132,58,6,-71.0,-96.0,6,4,1,16
3,1710323044.979612,b9e1d8ecde63f1e36fc357691e4161940953ebfb4662388b5abbc8f41fbc4ad5,04ca946318e9a42ededbe071f8e8209d2d46b97bc1dedd0364be111502c84979,studenti.polito.it,-54,42,10392456.0,1670668.0,10.0,AP-AULA8D-01,Student,1710323057.5084648,0.53.26.158.46.224,6,132,0,5,,-96.0,5,4,0,17
4,1710323044.979612,90f08fb124721368a441537a1f3702a8c8df9b3032afd39e7001bafaa8ed3421,f078749cb1699bebdf6e25b17c6e7f7559284107a1f9cf1e505557e3688143f1,studenti.polito.it,-59,34,5216325.0,1949907.0,6.0,AP-AULA14-02,Student,1710323057.5084648,100.246.157.120.161.48,11,64,37,3,-90.0,-95.0,5,4,4,44
5,1710323044.979612,95b6ca3e577483f78cfc9383061b7f9f440d52d20843d928a527c74bb15aee69,1a6cfcb0e023224695f1be4ea6f7ef86fc7303c6c4cd4beae9a8bf50f00036e6,polito.it,-44,43,3237007.0,28676833.0,10.0,AP-CIT-DAUIN2-02,Staff,1710323057.5084648,24.128.144.163.51.176,1,48,67,49,-90.0,-84.0,1,1,9,42
6,1710323044.979612,7a598f3acb96928bd93a114cd641f8f63151d6f66dff462beb3b89ab429969af,55971b0a1df67392fe9e512679f5a5409213ddf38d0476f49f1f729d2aaac139,studenti.polito.it,-60,32,23836370.0,2839026.0,10.0,AP-BOGGIO-SALASTUDIO-0,Student,1710323057.5084648,188.38.199.195.243.0,6,128,53,1,-87.0,-96.0,5,3,0,0
7,1710323044.979612,7a598f3acb96928bd93a114cd641f8f63151d6f66dff462beb3b89ab429969af,55971b0a1df67392fe9e512679f5a5409213ddf38d0476f49f1f729d2aaac139,studenti.polito.it,-60,32,23836370.0,2839026.0,10.0,AP-BOGGIO-SALASTUDIO-0,Student,1710323057.5084648,188.38.199.199.203.224,1,56,63,43,-91.0,-97.0,5,3,1,12
8,1710323044.979612,7a598f3acb96928bd93a114cd641f8f63151d6f66dff462beb3b89ab429969af,55971b0a1df67392fe9e512679f5a5409213ddf38d0476f49f1f729d2aaac139,studenti.polito.it,-60,32,23836370.0,2839026.0,10.0,AP-BOGGIO-SALASTUDIO-0,Student,1710323057.5084648,188.38.199.229.25.96,11,100,49,12,-85.0,-96.0,5,4,2,30
9,1710323044.979612,85f2ba72ad81ce62d8e27b38bab29af83f07a9f507f318ccb64937e2eb6d9792,da3a5b193b1b1943510a645470dd21add604ebd4c9881cb202aceb4e2db231e3,unito.it,-59,34,31657.0,9576.0,10.0,AP-VALE-CHEVA07,External,1710323057.5084648,244.207.226.78.182.144,11,108,32,2,-96.0,-92.0,5,1,0,6
10,1710323044.979612,8f284c11d80e3f521a6d3a8d5ebf4258f3c0eb8713a5cc51a5cb378d59f78694,9925535105c446360686d7a7c1c5636344886f702550c03cd659741af71a4095,studenti.polito.it,-48,45,3907423489.0,18399750.0,10.0,AP-LAIB01,Student,1710323057.5084648,244.78.5.234.163.176,11,112,17,1,-89.0,-92.0,6,3,3,32
11,1710323044.979612,c85bb4eae7efa52fa3b67b068d55cbe16112ae84237c4fae1d91754cbcbe53e1,f405748142ad86492cb45fa28eaccedc0304a95a6737334c43141b11bcd417a6,studenti.polito.it,-46,48,314704010.0,2430522.0,6.0,AP-AULA13A-01,Student,1710323057.5084648,132.184.2.251.245.160,6,44,70,8,-92.0,-89.0,5,6,15,23
12,1710323044.979612,f3d18a96a77fcdaffc66b661fe4cdfbdcbadd4f132ccbf5bc0d94a3978dd1fe0,3224fd9f1c6ea2f86665d4787d16e315a6bac2cb0c652aab2b4d467cf8b57dcb,studenti.polito.it,-50,38,74931857.0,172979530.0,7.0,AP-AULA8C-01,Student,1710323057.5084648,188.38.199.199.211.192,6,64,71,4,-69.0,-98.0,5,4,0,30
13,1710323044.979612,3d5ad108416a1bca641bd339086313e980b751223c262ada2a29051f5044667a,f0fcf135a9c05fbed598651504fded11b7fa79e74d658471ce39eb0aa82e1bbd,polito.it,-58,38,99992228.0,26641151.0,6.0,AP-CAPETTI-TD-XP01-01,Staff,1710323057.5084648,176.170.119.75.251.32,1,100,20,1,-87.0,-95.0,1,1,5,14
14,1710323044.979612,21861dba29c55bfa9ddcbf814496dde8946075bde11b88bbb0270a5ebab4126a,d7089b530618f72264353c5337264315363a80a4d23ce21ae68ea05ded472b9a,epfl.ch,-57,33,103286460.0,7025028.0,10.0,AP-VALE-BCA-03,External,1710323057.5084648,64.1.122.163.105.208,11,36,18,44,-76.0,-90.0,3,1,1,10
15,1710323044.979612,ef64c4fd9217722856b0f22b72fa18484c76bd03a740002b59b94d3e87d5db3a,e83c30cdeba72c049197980f47aad5ada9d8cd05b38ae6db4d859c206ffa4fcf,polito.it,-61,30,968435617.0,12854188.0,6.0,AP-DIMEAS03,Staff,1710323057.5084648,24.128.144.202.63.128,11,132,43,11,-94.0,-95.0,5,3,13,6
16,1710323044.979612,76d2b4bf23303908ae5e1dab8b3f3b5f51a95a423896d129479e0d98a2d4bc27,39e6756149f40075611708a91af8571b9ac158c04f70dc9a2c2b04c599a9e65e,studenti.polito.it,-62,35,265642039.0,28626829.0,6.0,AP-DISTR02,Student,1710323057.5084648,24.128.144.210.239.176,11,36,15,0,-95.0,-89.0,2,1,10,1
17,1710323044.979612,6b16a436b3a4f3724ec91a30d7afc7e5083887e490cefc21760d5474661ca7b0,72f78b3c23ebadc6b802d057b8ad2affa7ef3ac9c4646dffc113ba265020fa1a,studenti.polito.it,-55,41,863918686.0,94476008.0,10.0,AP-LING-AULA205,Student,1710323057.5084648,100.246.157.106.191.176,6,52,39,3,-97.0,-94.0,3,1,2,20
18,1710323044.979612,1f48c15cf4866a7ef32527952f5f4f064816c0198f49a78c5204dd17255ec71a,b545a9d1d3fbe7803bb825597b39b264c1d5b05e4ee005aceda86a466f1d4470,polito.it,-56,23,1172069362.0,65958736.0,6.0,AP-COV-C3B-XP03-15,Staff,1710323057.5084648,176.170.119.80.22.192,11,44,67,16,-75.0,-91.0,5,6,1,1
19,1710323044.979612,54b5b3f01dbda7211f2cf35a351a785be343868b51cc1aa0b15fa0482a3670c6,56c2d665cdf3df4214118b6e6dcd47c40258e7196d0dd81fd58e58e14574bef2,studenti.polito.it,-62,31,830466027.0,8894974.0,10.0,AP-GESD2-05,Student,1710323057.5084648,100.246.157.41.247.240,6,36,66,7,-85.0,-90.0,3,1,10,39
20,1710323044.979612,d9431bf1285791ebb7c6375635f14d76dfe888c42d76676407b2c1ba25716f17,ac3c7c8d0981b4b63d005437908827a34b8ba571a2c92b960f212c164f8a93ba,studenti.polito.it,-49,41,18168022.0,2243837.0,10.0,AP-SETTE-AULA06AM-02,Student,1710323057.5084648,132.184.2.250.204.32,11,44,21,3,-94.0,-90.0,5,2,0,26
21,1710323044.979612,4ee1e8a48714f7b9388e1b23fd65631a38b8620121069fa83a9c14caf7db20ff,5d98237e9b5dd6ba2958de4a506b5cd8af7eca104897efac8cafc054bf21f3c7,studenti.polito.it,-57,37,10578839.0,2096873.0,10.0,AP-DELEN06,Student,1710323057.5084648,160.224.175.213.128.80,11,108,48,5,-93.0,-91.0,2,1,4,24
22,1710323044.979612,d82bdb44e9431f5bdbc41d238c64dbb33ea729fe36432b50c34a82e64a2ca62d,929a7a4c60c9e0f75a1d161cc32d9e083e36d3d55420f0bccdb30c356e28e10b,polito.it,-69,18,523291879.0,53698697.0,10.0,AP-CIT-DET5-01,Staff,1710323057.5084648,100.246.157.177.95.32,1,100,12,12,-95.0,-88.0,2,1,1,32
23,1710323044.979612,e18427c068c8eb2ef245ecd0cf33af8543e345cbdee55099e6ac16dc6a390bd1,b89d1bb92aea2d2b8fa3ad8c32d0829496bac352e3d060adc404498e518f76e7,studenti.polito.it,-57,35,88329290.0,18483776.0,10.0,AP-LAIB3-01,Student,1710323057.5084648,24.128.144.202.102.176,6,52,58,28,-83.0,-90.0,5,2,1,37
