MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
8954ab0ae7ef14bc9cb1796bcae7d6e2fd8d8a3cddc92774dafdf15460285e58,f9b15dd72062d723e216826fead95b4116d4b73c25699bbb8ae6a806c98cb061,kth.se,-68.0,28.0,23989098.0,5079221,AP-DIMEAS03,External
de5fa34f30a96cd4107b1d5f18848505f896103edc16aaf02ffb4a2c8be1a8c7,b13ee685e71ebe9aa85e1f4595e8c0e1e2ffbe2b20b1df511bf68f534b6f565c,studenti.polito.it,-59.0,36.0,91088589.0,16083035,AP-VALE-BCA-02,Student
343a5ca04e9271f080cc87144259661c1f71c023ab7ea4e96f050cc54e068231,57e29850cc3bf9a328a9af4aaf2a944f4ae17ef6ac6b2f012d2871ce03cfd732,studenti.polito.it,-56.0,37.0,1079083.0,16081983,AP-AULA1I-03,Student
c4281b9002056543d1b2eed081d1fcff91606e69fb3f36006ba75ecbb696d1be,5ff11f76f4403362b01865cc08b1273a3a394d4acaf24d2978f1d67047377f4f,rug.nl,-70.0,23.0,1012214165.0,351302344,AP-SALAMICHELIS,External
b1b312ed5351a6b448477492b8af3b923970df2a241897adf23f563702a7190f,bc63baca86eab73b34927e3ad13bf767b98a60225c6bebd12a32bc5bf4e3070c,POLITO.IT,-63.0,22.0,131422434.0,18238483,AP-CORTILE-03,External
8c9f4e0bcfb26c16c27a84e38d6880ce71962fbda4cd3b0cb3cda2cea425d5af,,,,33.0,521179.0,54821,AP-DIATI0-01,Unknown
0f558425195b50899aa0673abbf676f0164f895ba14621182b3d79034e6e05f7,4cb3f940757ef26c63338b6bf38705c8c3784d98736bdac20523e852fb60ba5d,studenti.polito.it,-57.0,35.0,3726301720.0,51959809,AP-EXREALEMUTUA-R2A-P0,Student
75b6b8eaea670b52c9484f6a3a83677fd7d98d117e20eafa31941789ad49194e,1be888fbfe78194e0f2c1f1b539ee7536151d1b0649845274c898fc01e5cafc6,studenti.polito.it,-54.0,41.0,506725153.0,32503046,AP-CIT-EXCELID,Student
0345ca52a359ab944b21d490cdbbed31fbb8d4e7272afb2d6f638496cc481587,de2ffb14c77c0148ee714a9788f958198225bd491f5e6425c5a9b6a27e1d6ff3,studenti.polito.it,-48.0,45.0,19820932.0,836698,AP-AULAR3-02,Student
afa83f8b9227617bd9fb6802d6802dfe432d623a92e7e6646f9e9aba2a094031,5816ee40619d968f37d6c758acbe6b18ffeb6edf39be9beaec64f49339b21d48,studenti.polito.it,-59.0,35.0,255921.0,101572,AP-FISLAB3,Student
847681ed10aff80ea2101a541ea2f6cb2d9171f7c1e1e9ab5082679d699eabad,cd2286d9f1179dbf05b15600b0d1fdfda6b4cf4c021f7a30f0d79afd425c4531,polito.it,-35.0,55.0,8814971.0,6701736,AP-AULA9S-01,Staff
298712d6e493797c9b5352d3a56df567571df478cf29ce9ea425162ce05e75f7,b56c4557643edf48779210116f303b7485baf557d5fe399b29780aafa0295880,polito.it,-56.0,33.0,674839415.0,73103283,AP-AULA3S-03,Staff
4aa2ec2541935bc2fe400631a6c46c050852ca4e70a8406e3f3c119c07c1e806,517e06265cd1f3ef6787e61b676e9f15e25b1060a14e97c1cd9014ffae477390,studenti.polito.it,-43.0,49.0,30546779.0,2723605,AP-AULA05-02,Student
b6404d5a542214d60d8518347d9367e23c5cdc2b8677723421bd0815779f8f31,3b8bc81310e33a06027957f8ff9832030667469bdd59abbe418bf1a33010a113,polito.it,-56.0,29.0,2904121.0,2537453,AP-VALE-CHEVA12,Staff
4eff4f83e7f5692dea56af75dcace62e96c5290dfdcb526899e6c344f13f9591,65203c7d0c4994e5b0ad0d5d9c28dd9b6eb3388eb90eba4cb589b5dc3ab82b20,polito.it,-71.0,20.0,79744884.0,18340232,AP-DIASP04,Staff
5596c7d7b46a4d0a6a7912b8271aad140b0f2aab80cd7f6cf4e2b91198636311,1c6e2b611ef878c1a684dbbbc3d1766046c71ac2a33bf746ba2cb309f429860a,studenti.polito.it,-50.0,44.0,905316355.0,104809763,AP-SETTE-LAIB2S,Student
a55516b716575664cb98939fda7a8840bf9073244c3f8f42ae63c2a5321ef882,a84d69d4dfe2dead7ea62d2df430c96ee52ea5f782d857dfffb0e127a403f6e3,studenti.polito.it,-52.0,40.0,229428396.0,62981521,AP-COV-C3B-XP03-15,Student
41ea08e1017233d64467382ed519e06a6a80e5eea41ab0b7ed00d38001b41be3,650eba85d13a8ace2c82603b10d4388c95101e6abc59cf954fa66abb68f13c40,studenti.polito.it,-45.0,48.0,1699629184.0,766682981,AP-SETTE-REALLAB,Student
fb6ed8ddb81f7eb79d28eba747aea39b8e28d5aae23c7a51dc04d34bd8a4914c,cddbf9238840bfb81d55ff789a39c0046da4701866f4f932fec2fae79ceb589e,studenti.polito.it,-51.0,31.0,43598334.0,3347952,AP-CIT-DET3-03,Student
a8fd61497ed5c6415eeb855fe7747a5214c2cfd2c677dcdeca4bbdcdf1498b4e,3ce676e7f42de265dea8fca4c4b7ecb185f55cb2068a8916299ae368d42313fb,studenti.polito.it,-54.0,41.0,19225762.0,2406817,AP-AULA05-03,Student
088bdd42c07a8a5647a8d8081cbd6bab360da8999ed61c8ce52698455f38e055,212966c9a3e20a4baeabaf1d6b930b27bfe9fe46e862847e293295c3cf172e56,studenti.polito.it,-53.0,37.0,303887040.0,30148548,AP-SALASTUDIO4-01,Student
e48a1666df373d9f9d896ab3b1fb7f1e90f2e3535716db1fa0aa17e8739854e2,9172e4b6d9177452ed6277cf905564726fbcf9749937fc8c9f20c91d6e38f2eb,polito.it,-61.0,33.0,154478564.0,21561064,AP-CIT-DET3-02,Staff
13feb50eb323d8650a4740ec12d9a73341ea17dcdd4e06170fb581bd8b53cf67,31e6cb3bab6b6d803e1be1b6e5b083cf0c1a7ef539d2f8b759e61145a71e9fd3,polito.it,-65.0,30.0,16699261.0,4841187,AP-RETTORATO-CDA,Staff
007e8d59788ee048f7e4337cf0c6633d421d29265d9477cc706cf1b14b1cbd3f,44a461633f46403671566ad1cf407803d7f3bef38007016a596de5d757da1b09,studenti.unisa.it,-45.0,45.0,132187842.0,25437069,AP-AULA3D-02,External
d4e7d2575fd4bd42a0831baadf060f5eb3c05b3e77b71fb08c6a23198975d934,3ec089d9e7ece48271d8644431c53296170df961b592f64876f87abe1ad5e21e,polito.it,-60.0,32.0,1745503565.0,613797019,AP-DENER03,Staff
