,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
0,2a873e9a7647b8209649099e291b9e44d147e3837ed080d73f5e88743115749b,1e9c17b8f521528007fcb6c13f6a5f57ee526c373e7fdc9f6fea2f926fd89a77,studenti.polito.it,-57.0,37.0,549586.0,225452,AP-AULA8N-01,Student
1,8954ab0ae7ef14bc9cb1796bcae7d6e2fd8d8a3cddc92774dafdf15460285e58,f9b15dd72062d723e216826fead95b4116d4b73c25699bbb8ae6a806c98cb061,kth.se,-57.0,34.0,254555077.0,9483771,AP-AULA25-TM-01,External
2,5934a947a51f75e25412c997908bf3a03edb4fd1444e88a5f3ae686c7186197e,7354c51ee25c2de88656606b309ed3c506826d70b6dbad8dcf1c0adc4fba8f6b,studenti.polito.it,-52.0,40.0,4233558484.0,96813356,AP-LING-AULA206,Student
3,785dbc6155736d4f2bb4c345fa57c09aaf2531150f9c468f0a7dc52b20f0fd6b,247a2badcf75c978b6dc86d3e63ec8ba12f963605e2b0d2bdc99682dc9b4a25d,polito.it,-61.0,35.0,3921041.0,17609395,AP-DIFIS04,Staff
4,d7ed5edbf353a0fa55052fb8b97df83fbe39878664eab85940441c9b7f4666e3,9ed448385cdb6431246e1078ac525f2ac65fbb4768a9573aff52c5e2ec723ece,polito.it,-83.0,7.0,686848.0,233181,AP-DELET02,Staff
5,343a5ca04e9271f080cc87144259661c1f71c023ab7ea4e96f050cc54e068231,57e29850cc3bf9a328a9af4aaf2a944f4ae17ef6ac6b2f012d2871ce03cfd732,studenti.polito.it,-47.0,41.0,1370406.0,32334778,AP-AULAR1-04,Student
6,765cfb0ac315108dd66cc162bf03e172525d4da7e9fc2cff1d4cbb63cf808b73,2af05a6ac84e9dcc7ec1ba6be23ea10a6d29b2728d1a0afb33c3b066abf95b9d,polito.it,-54.0,35.0,5449851.0,6783301,AP-CIT-DAUIN2-02,Staff
7,c4281b9002056543d1b2eed081d1fcff91606e69fb3f36006ba75ecbb696d1be,5ff11f76f4403362b01865cc08b1273a3a394d4acaf24d2978f1d67047377f4f,rug.nl,-72.0,24.0,141330064.0,22711399,AP-SALAMICHELIS,External
8,b1b312ed5351a6b448477492b8af3b923970df2a241897adf23f563702a7190f,bc63baca86eab73b34927e3ad13bf767b98a60225c6bebd12a32bc5bf4e3070c,POLITO.IT,-71.0,23.0,58025275.0,6156992,AP-CORTILE-03,External
9,75b6b8eaea670b52c9484f6a3a83677fd7d98d117e20eafa31941789ad49194e,1be888fbfe78194e0f2c1f1b539ee7536151d1b0649845274c898fc01e5cafc6,studenti.polito.it,-55.0,32.0,41994866.0,5704177,AP-CIT-EXCELID,Student
10,069f3aa6a2b45b0426b9a987492f521a48be10b43af447a9cc7793d7e238264b,,,,21.0,738.0,774,AP-DITIC07,Unknown
11,0345ca52a359ab944b21d490cdbbed31fbb8d4e7272afb2d6f638496cc481587,de2ffb14c77c0148ee714a9788f958198225bd491f5e6425c5a9b6a27e1d6ff3,studenti.polito.it,-61.0,35.0,17113.0,236751,AP-AULA08-04,Student
12,298712d6e493797c9b5352d3a56df567571df478cf29ce9ea425162ce05e75f7,b56c4557643edf48779210116f303b7485baf557d5fe399b29780aafa0295880,polito.it,-80.0,8.0,329633945.0,39227757,AP-COV-C3A-XP03-02,Staff
13,5fed161e40f9aeaaf3eadacf35cd6264e4da311c0abe12e3e4784bd2f57f9283,63ee5e2a523d43dcf4478f5ac4a34b716aaf5c7fe9fdb979fa9ad5361e43dab5,polito.it,-61.0,36.0,53666702.0,3745963,AP-DISTR02,Staff
14,9819180e2488c1503d4f4fd8da129c3bf066b7cd7b8dd9f8bdfe0d443652f142,bd9ebf937152811fcf0f4bf4e9c57daa5a7fe33b5b74b55f34252ac069cbbbed,studenti.polito.it,-43.0,41.0,536987.0,666091,AP-LAIB3-02,Student
15,49317e2f6eb70fd42c18a116732697b878e8f5c46725f819391d91865e5d512b,147643dc63e78b53557ca6845be70dd78533d1cab5c35b27fcbb685a8f0476da,studenti.polito.it,-56.0,39.0,2062717.0,569693,AP-BCI-05,Student
16,82a33f59d67e0d02e144a3d8e6bcd68f1817623865f5063c56327d86f4573925,80d6e3846e01233d8cab1df5db2151d02a42eb3a9b803390d685659df02dc531,studenti.polito.it,-54.0,42.0,667586551.0,15076753,AP-AULA08-03,Student
17,a55516b716575664cb98939fda7a8840bf9073244c3f8f42ae63c2a5321ef882,a84d69d4dfe2dead7ea62d2df430c96ee52ea5f782d857dfffb0e127a403f6e3,studenti.polito.it,-58.0,34.0,248521224.0,42244245,AP-COV-C3B-XP03-15,Student
18,41ea08e1017233d64467382ed519e06a6a80e5eea41ab0b7ed00d38001b41be3,650eba85d13a8ace2c82603b10d4388c95101e6abc59cf954fa66abb68f13c40,studenti.polito.it,-53.0,40.0,155819935.0,30494437,AP-SETTE-AULA01AM,Student
19,61fe077a6245642617af1e7d55034339bac5fd83f1855a5b6274028fc6215b1b,66d221569db05a8e98425c43cfb93a891598d1fb7beac5411c2c6c4a33139e36,studenti.polito.it,-41.0,54.0,2261780459.0,48792436,AP-BCI-TZ-03,Student
20,e48a1666df373d9f9d896ab3b1fb7f1e90f2e3535716db1fa0aa17e8739854e2,9172e4b6d9177452ed6277cf905564726fbcf9749937fc8c9f20c91d6e38f2eb,polito.it,-53.0,40.0,474040310.0,48845924,,Staff
21,e29caa95c8214ef333eab5b083513ca2df69c252c0267d58a0d1e0e01af5f599,1701b055d5dcc83b9956b0c7c89c16e66c4592d6f49b3dd38785c5124e869b8d,polito.it,-78.0,15.0,401376542.0,181750650,AP-VALE-BCA-03,Staff
22,7234dbd404014b85a7d025c79c5cab18ccd8e406dfd187d6c847634255e64bfc,f162d72a1d9a663e74e09d380f7509fd97ba8fe6d133938f9f03a0c83c080b5d,studenti.polito.it,-74.0,19.0,358004619.0,21478224,AP-AULA11I-02,Student
