MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
baff9762eb993b2c4c2c1ac8f06ba7f093c5a298263de0ad385dd3667561e647,28f3ff8cb62180a3bd98beecbc79e5c56108dc5519ab9511c6572b899d3d4bc1,kth.se,-67.0,,269055776.0,18031847.0,AP-DIASP06,External
cdd9e423cb5fb6e527e88586030143f664c4e3361c3f18179846702a18be42d8,bbe68f19a7aff1ad4b939c82b2f2f4945f9f39ae0a89b028011bfc08ba5de0c7,studenti.polito.it,-53.0,,142538.0,65079.0,AP-AULA10D-02,Student
8ce631fd64a9bff71d1364436f17aac56141e5cc19d438e8a92173d83c21f322,086cde689748b1c647ff5a1b19ce7392d69e34aff33ad8302e2d27247893d33c,studenti.polito.it,-80.0,,10839362.0,564969.0,AP-AULA10,Student
f07323d141cce57e65b1e515244ab67cbe7e79d3cf61e6383d1a80938a089c8b,4e01c8b5139735070d6f20f8c8b8c393eb9e081c339a4a731ae0c51128e8e3f6,polito.it,-70.0,,227945.0,100951.0,AP-DELET02,Professor
10aeb3520ab10191a4a6fc2aceecac8bbed19b3bfaabf25211b59073d481ee9d,725ad72c6ae880b335df26dc25674c328515fa58572b58b7b9128dfa86667234,studenti.polito.it,-52.0,,24665888.0,101499443.0,AP-AULA1I-03,Student
9eeb75993431c28d046cd70fe34e24acac2d7fed39291f71231000d8911b89a7,1491d575fe326c45a4e2576c05b90b1083486d237159d196cc281f5e0b523e97,studenti.polito.it,-54.0,,120306313.0,9854232.0,AP-EXREALEMUTUA-R2A-P0,Student
1116d1e87fd533bb56ff1f506b612365009b51868784946ad6e727b6fcf8517d,09acca347978c6c1742d5705e88abcdcb6712862e235249afae614d9c7f80e48,studenti.polito.it,-58.0,,4081099.0,231767.0,AP-FISLAB3,Student
787cf5c9c8bd017ed549b629a49dc63ff34b450b77d1bcb2177120a153d81a85,ee526312f88ea99fdc9bdb7d29dc2e8f3a07f22c6e653c9545793e36495a5a11,polito.it,-53.0,,770648294.0,181325980.0,AP-AULA1S-02,Professor
c33ad60104211b77d09b2cc4769b55b15b325017dc7f6534cd6c8aaa25826e63,de1e9bd1835405ce7d2efce8c849ae5a864f443c74b5dfccd3afd1de775d77ab,studenti.polito.it,-42.0,,192283781.0,20509079.0,AP-AULA05-02,Student
d3636d0038f9c1ed1fb9441bebcec37ab427615bd7f33a996dd1ce0c5b921461,74681df5986517b22a5e9f0004e2398b4dc11eebf49140e23422df8b37b5da0f,studenti.polito.it,-56.0,,467898628.0,26090575.0,AP-LING-AULA302-2,Student
