,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
0,462db4a37a20b223b4bc11b2e06dcc3fc4d05b4a7158070689e2a68685516173,062d4a44e8c1466215536f74bed533dbedc3d2f7b75ddfc2289efe19d0e6b104,studenti.polito.it,-60.0,30.0,101361945.0,19930090,AP-LING-AULA300-2,Student
1,fd2384ccce1a30e48844a788c0f62ed217cd95c49725825b90727997fd325a7d,37389184a0d518168f528bb408528749fca313b1f497e0ef2aa37d578123e2c5,studenti.polito.it,-57.0,35.0,4919228.0,2332439,AP-EXREALEMUTUA-R2A-P0,Student
2,164d737c6abf628870b3b7eb8ee891dfb6b4484e00204bca89c9d19e929f39b6,b7145a79f6677dd37adb280378214e6b1860299cba04b08b54cea49b50f24b8a,studenti.polito.it,-54.0,19.0,46159063.0,7759421,AP-AULAR2B-01,Student
3,bc65d65e337c0620d2276fc3e6be0640d357f346fc0d402cd00189ed8dc9c19b,3e6d7cefbe3e16a2d301a42a21b00c9df563b0795e19844236fda7179fa944c8,polito.it,-60.0,34.0,605256953.0,64986919,AP-COV-C3A-XP03-02,Staff
4,6fa0e86725cf290d95abe25b15be1357ef8f62834b09547bd6a9e68c0ebd0864,a58b8dbbbf5df1918e068b911dcfe86ecdf858bff7a587f0b72c25e08cdfad05,studenti.polito.it,-54.0,41.0,846283962.0,5283371,AP-AULA05-01,Student
5,da8ab97ae6cf975bea056abd52782b1e9b42d4197b5a71f67269aaad837bb530,7aa9f36770cbdef4c37879acae1db949225234df0584cc7d644f57061e9df4cb,studenti.polito.it,-56.0,39.0,29257955.0,2999727,AP-BCI-ST-10,Student
6,7c86e4026c0c9efdb667a8d34541534cbad80d24bdbb5cc9a5d6960fdeb82a52,7856fa977fdb570cc82a3fbdced09d855f89eba085a8bdf64283f04f14539cdd,studenti.polito.it,-60.0,25.0,1213254033.0,63191342,AP-COV-C3B-XP03-15,Student
7,51ac61414f673a0467670a95197ee0d6c47203e9307f12cc07c21f6009d7a428,2a7dc1e8a52bc713a672a4e990a36b6447d81c2ace9f17cbfd97b7167796bd90,studenti.polito.it,-51.0,40.0,140526745.0,5113503,AP-AULA4N-02,Student
8,924206feb54cd5d64b5f71f23083c02e0f5c458c0869eebcd795afc6d992a483,a4f509bd128005e767d99b767e41298af54a62f305731210a2ded5099f536b8c,polito.it,-63.0,33.0,618861755.0,388413424,AP-RETTORATO-CDA,Staff
9,b9c62e94e2a71385c521447150d9a48d038ef82fb560cbdc2ba566243cac600d,c17018ea25a0d9f818c7a61c171a694df9ecb76084eaf5334324253049b6e7be,polito.it,-43.0,56.0,436018160.0,81937633,AP-CARSTEST,Staff
