,Timestamp_x,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,client_type,name_ap,class,Timestamp_y,code_ap,channel_1,channel_2,ch_utilization_1,ch_utilization_2,noise_x,noise_y,tx_power_1,tx_power_2,n_clients_2_4,n_clients_5
0,1709919713.4442668,963541d7ab86ef4e5c067a0b67723fad32c8d65c25121819e74da3862a8f7ca3,fcb77cd0310f3a97359221ea7278a830491344ce0eac21159f5441a078f18fb4,polito.it,-60,35,634861170,151362528,6.0,AP-COV-C3A-XP03-02,Staff,1709919725.9061918,100.246.157.123.103.192,6.0,60.0,45.0,3.0,-85.0,-92.0,5.0,6.0,1.0,1.0
1,1709919713.4442668,89a68b912b00a8304f95c67b990b9ff1b7fc93249acb876e45d19e7683987efe,251ff1730c59f7313e5f5bc3965c7315a7eef7796a7a616ee3d0b27d9f0119eb,epfl.ch,-60,33,3191673532,58016741,10.0,AP-VALE-BCA-03,External,1709919725.9061918,64.1.122.163.105.208,11.0,100.0,5.0,0.0,-91.0,-92.0,3.0,1.0,1.0,3.0
2,1709919713.4442668,b972f92df8f023d28e8363795ce3b8c6da45b73e0ff6b7e43073860533a231fe,8d357ea766c61581a51612e5204893236863844dad510705a3d51e0b79d1e86f,studenti.polito.it,-65,32,721896641,194073376,6.0,AP-ASSTUD01,Student,1709919725.9061918,160.224.175.214.83.240,1.0,132.0,18.0,3.0,-96.0,-95.0,1.0,1.0,6.0,15.0
3,1709919713.4442668,3c78e9870148017938f83545bc98eaab653cacb4ca59996a1736b42bd192b970,fb411e4046535efdb5853a2f898b54fd58d0414d977fe62a1a9747481395fa36,studenti.polito.it,-74,18,1074748206,104022719,10.0,AP-VALE-BCA-ST-01,Student,1709919725.9061918,0.53.26.162.43.160,6.0,64.0,5.0,0.0,-95.0,-89.0,2.0,1.0,5.0,21.0
4,1709919713.4442668,aeeaf2d3f8c343d900d1fd1a4ab189d6d9ee1ed07fe7f5f1018226375bfc2708,aaee9907827d9e45e3cd198d748b55a45f1967caf6404075cbf69f1edd1bedbc,polito.it,-52,42,2681835492,365723583,10.0,AP-COV-C3A-XP03-13,Staff,1709919725.9061918,100.246.157.33.80.48,6.0,60.0,61.0,5.0,-92.0,-91.0,5.0,6.0,1.0,1.0
5,1709919713.4442668,e11d3ad1badbe6809b626776ee8adefd106381c18f1c93f1c2150a504e23d3e5,1c6f1b5ee0a4f2b6dcedea11cb42b19070b778f2857d33abd4ea3523c62d4f76,studenti.polito.it,-51,42,165308439,10320445,10.0,AP-AULA12I-01,Student,1709919725.9061918,0.53.26.121.95.112,1.0,36.0,10.0,1.0,-68.0,-90.0,3.0,1.0,0.0,27.0
6,1709919713.4442668,791b84c4d23689eea3a9055230a88bfc04ba19811d07f57af0fb0b6cb96a39b9,18b6327767c1ef59c16cb70ccf455a3d272f5f3fc25e62a28cdaccd78c4bd254,polito.it,-50,39,15238407,9025170,6.0,AP-DISMIC25,Staff,1709919725.9061918,176.139.207.124.217.160,1.0,64.0,12.0,1.0,-92.0,-97.0,1.0,1.0,4.0,5.0
7,1709919713.4442668,60bb2f10f37faebf394eee2300220e69edab07d9236821ef768738d4090b3825,6a59055fdbb8e051e5731d750a9f86860b7f9e39cbcb8a5fdda4b986385f4f5b,polito.it,-66,25,469352909,26513028,6.0,AP-DISMIC02,Staff,1709919725.9061918,24.128.144.205.82.16,1.0,64.0,15.0,0.0,-97.0,-91.0,5.0,1.0,1.0,1.0
8,1709919713.4442668,f9ad3280ce12a512a92098eb899d4d64e88750c8b2ce468dffef16d8a9e5d7c5,9936071646038ddd785abe909af5bd88558bcfe08d4d27021974caf04b7c5820,studenti.polito.it,-59,30,590853078,4003479465,10.0,AP-CIT-DAUIN2-02,Student,1709919725.9061918,24.128.144.163.51.176,1.0,48.0,43.0,5.0,-70.0,-85.0,1.0,1.0,2.0,31.0
9,1709919713.4442668,acf892f584498a29597690f3491c250321b8e3062920d269906608cc9eb39239,0f80bad80dff6c6e8e3b74535df72444f68fd1f8063f6a6fd2b212fb8380d41e,polito.it,-61,33,1681635668,148905505,10.0,AP-DIMEC12,Staff,1709919725.9061918,100.246.157.33.68.160,6.0,112.0,27.0,1.0,-90.0,-92.0,4.0,1.0,0.0,4.0
10,1709919713.4442668,a6f9a26a6f381d12517ee345e6b0e7903f55b4a2c0bd04e67a1b2e72baa2a03b,2a3ef3f7561352ca9b956e53f1d092618dea588525353229a19434bcf170edb4,polito.it,-64,28,141030746,4999404,10.0,AP-DIMAT03,Staff,1709919725.9061918,160.224.175.214.86.128,1.0,56.0,21.0,0.0,-98.0,-92.0,5.0,3.0,1.0,1.0
11,1709919713.4442668,3f233f0e3d0c3b49e78cdde72d6ebeb14c9ddeeb164436b52131d08eabae14f7,b75db4e1c144ed1b48d527383787ab4b1260b013b9e0d0a54d737252f6e06793,studenti.polito.it,-63,28,5812656,2511851,10.0,AP-DIATI0-01,Student,1709919725.9061918,100.246.157.120.158.48,1.0,100.0,18.0,2.0,-96.0,-89.0,5.0,1.0,0.0,6.0
12,1709919713.4442668,a0906e2a1c40a17087d410bc69540c5cf970987548f34a7621877ee45784c397,1626c4b5d081ef3b9b703baf1e4c4cb825a5d7c6c0f37d072c9a5f0c289cf8a2,polito.it,-80,8,1512840043,236562027,10.0,AP-DITIC07,Staff,1709919725.9061918,24.128.144.210.244.208,11.0,100.0,5.0,0.0,-97.0,-87.0,1.0,1.0,3.0,5.0
13,1709919713.4442668,905a12a298f9d3ecb18588cbd5e81893258bf0448764d8b84fd9e4f739ad8a64,440225d48c4b7972b54ceb2d9e5b78bcd554abaaffeb4177b9fab297535c5761,polito.it,-60,34,969302157,100904479,10.0,AP-CIT-DET3-02,Staff,1709919725.9061918,64.1.122.169.49.240,11.0,60.0,10.0,0.0,-84.0,-91.0,2.0,1.0,1.0,10.0
14,1709919713.4442668,7b50c9a81bd2769ae6eca29a1e86fd59aebc9e0d13f67facce5acab5bfe815f9,b45c81c6806a3c1283ec76b5e193817965588b942dd6b93b7ca11ad66280468c,studenti.polito.it,-58,35,390684384,18739808,10.0,AP-CIT-EXCELID,Student,1709919725.9061918,0.53.26.167.251.112,6.0,100.0,30.0,7.0,-90.0,-91.0,3.0,1.0,1.0,75.0
15,1709919713.4442668,8afabb936776c79ea42bca05569363cf2b602a54dfc2b6eef52faf4fd997364b,03640def0c7658cdc49b27e50ac55bf15f5968af2ce91719a09612d7453c24c5,polito.it,-71,22,1551184492,400705068,10.0,AP-DISTR07,Staff,1709919725.9061918,24.128.144.205.88.96,1.0,64.0,34.0,0.0,-90.0,-92.0,3.0,1.0,3.0,4.0
16,1709919713.4442668,734aee8f57714ede291883a9ccc96de6fb43f8e745d614e96375c9ce15128288,2b3d870d644dc2163098e723f91d7b75dadc81774d91fe90652cc983f2bb86e4,polito.it,-60,29,20151403,2870777,10.0,AP-DENER-ANECOICA,Staff,1709919725.9061918,16.6.237.44.38.64,6.0,44.0,10.0,0.0,-92.0,-96.0,3.0,1.0,0.0,1.0
17,1709919713.4442668,2ffba440bcee98ef8f934ceaa12d3995854743591d6d78ca929df0118d9952ac,cd40a5f3325f17febd94fb4e8b4949d396c10e771de4e83791e0985a9797b047,studenti.polito.it,-84,13,127203657,21761745,10.0,AP-PORTINERIA,Student,1709919725.9061918,176.139.207.126.242.96,1.0,120.0,11.0,0.0,-92.0,-97.0,1.0,1.0,3.0,0.0
18,1709919713.4442668,37f05d288decf5f0786a8d0620d1ced5f4605155592287168cddea9917814eb1,07098f7802d0f6ed390101df7dcb7a97ba0b6c2f336de7302916a7787172a655,studenti.polito.it,-73,25,191351,291680,6.0,AP-DISMIC19,Student,1709919725.9061918,100.246.157.120.20.16,1.0,100.0,21.0,0.0,-97.0,-91.0,1.0,1.0,7.0,2.0
19,1709919713.4442668,ba2218400f9091b4e39d82a74e729084b75472a7a3c2f24c3751180c7e8075e3,bd57ef50152fa110042c86cb1e6eace7805dd0ea071fc4bea1240a8299b736fc,studenti.polito.it,-66,23,72319594,8689735,10.0,AP-BOGGIO-TLAB-04,Student,1709919725.9061918,204.219.147.143.58.192,11.0,52.0,52.0,2.0,-88.0,-94.0,4.0,1.0,3.0,6.0
20,1709919713.4442668,10e3a25c418516792d1d1d051a3b05926e5eaae07a9361c2e8569edf0b2bc42d,b45c81c6806a3c1283ec76b5e193817965588b942dd6b93b7ca11ad66280468c,studenti.polito.it,-59,36,746771759,22852764,10.0,AP-CIT-EXCELID,Student,1709919725.9061918,0.53.26.167.251.112,6.0,100.0,30.0,7.0,-90.0,-91.0,3.0,1.0,1.0,75.0
21,1709919713.4442668,6906a9c6bed6eb902565fbcbcc261b6f7bb2835af146a9520de851fd33ec68cf,45f6548231af1017e8ff078825e1b6b4474d578f15e4da5f370ccd6e2dca4c04,studenti.polito.it,-57,36,58618391,2272240,10.0,AP-AULA1I-01,Student,1709919725.9061918,228.170.93.190.21.32,6.0,44.0,16.0,3.0,-91.0,-91.0,5.0,1.0,0.0,22.0
