,Timestamp_x,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,client_type,name_ap,class,Timestamp_y,code_ap,ch_2_4,ch_5,ch_utilization_2_4,ch_utilization_5,noise_2_4,noise_5,tx_power_2_4,tx_power_5,n_clients_2_4,n_clients_5
0,1710167403.0831697,8124e28f6ee6fce71144ca5d5dc49d88946c7f92b088adce7de071a9f7287c75,62fa524204e900c0edef646b289e7e1554550bab5eb88967de432c340fbca821,studenti.polito.it,-54,36,22431.0,38211.0,10.0,AP-AULAR4-03,Student,1710167415.493773,100.246.157.131.94.16,11,52,61,13,-93.0,-85.0,5,4,4,41
1,1710167403.0831697,2a1863539375f04b15450384814d386ca7bbac719530369412f28dfffe538986,78b7fac915f85c535f8abf70ee5e89c481645efb066be59a05b68668138c79c9,kth.se,-65,29,10412937.0,5616557.0,10.0,AP-DIASP06,External,1710167415.493773,136.29.252.43.19.112,1,64,29,7,-85.0,-95.0,2,1,6,24
2,1710167403.0831697,17a3a6463dc4abc655565d397d528fb28d24c9f43151dc14a0662741144908a0,4871d3060ed51bf0166d21572386310ef711ae353d332d09ab466b6664f6c1e1,studenti.polito.it,-47,45,1612268.0,745618.0,10.0,AP-AULA5T-02,Student,1710167415.493773,244.207.226.198.192.32,6,108,47,22,-94.0,-92.0,5,2,2,14
3,1710167403.0831697,323d7e3d4b7890285e0958ab1f46f238069e920170faa81bbb35bd2eb2ca659f,19438d04a6fd3221acbb855646256058265d83d8ca6623e2f9011525540715a3,polito.it,-51,38,938852.0,365237.0,10.0,AP-CIT-DAUIN2-02,Staff,1710167415.493773,24.128.144.163.51.176,1,48,67,11,-71.0,-88.0,1,1,12,55
4,1710167403.0831697,da013272f89593e5ceaac6902231cef3b3b884fc6987e49eb267cf7bfde05a6b,f606754717db5d5832a1d01a0a4cc645268999ecaff3b05619bfa508ef17473b,studenti.polito.it,-55,37,9990769.0,5084318.0,10.0,AP-AULA03-01,Student,1710167415.493773,244.207.226.66.247.192,11,132,63,4,-89.0,-93.0,5,4,1,46
5,1710167403.0831697,39d79702561d86c04bedb5745b46e2ed4aee72f8e6ded6ade9d8285019b82099,54104bc87a4d43ba5cc0756a73e1d620a4d9944590f97eeee423da75570dd8e2,studenti.polito.it,-51,41,95090903.0,2417681.0,10.0,AP-LAIB01,Student,1710167415.493773,244.78.5.234.163.176,11,112,14,5,-94.0,-92.0,6,3,1,12
6,1710167403.0831697,841db867d839581cfdc01603b8ba7ca6a8c61d4c2d0ce412bdbcc5fc144930e6,bce77d9237a6b93b41ec345b965a6748e6221b089f115396ad602dd9fe108fcf,studenti.polito.it,-56,39,528108429.0,4575631.0,10.0,AP-AULA3I-02,Student,1710167415.493773,0.53.26.121.105.80,6,100,28,3,-92.0,-93.0,5,2,0,12
7,1710167403.0831697,76a20c378bcdba10e104645fa725cd7bfc64169d641ff9fa52c3124e4b751641,7ae3de181df73bb8e3d646bd63baac84c386403e54a3b709e05feb22e33a278b,studenti.polito.it,-55,31,663880273.0,17161454.0,10.0,AP-DIMEC10,Student,1710167415.493773,244.207.226.78.190.240,11,132,31,0,-90.0,-86.0,1,1,3,10
8,1710167403.0831697,c5d3d57ecf6f0cd71fc24bf351b72d9fb3884c02ef7be15e6d8770bf621cfe9d,ac37f060b4daab652000d13feb3730b61500be956ba4ab1ff1cab48210ca9eba,studenti.polito.it,-52,37,666909.0,853015.0,6.0,AP-AULA10,Student,1710167415.493773,24.128.144.210.247.16,1,132,85,22,-94.0,-93.0,1,1,18,68
9,1710167403.0831697,5dba0d02e1cd15c4c889c1d8678c2ee8ad3fc2cbfdc2170a21e0670526236eef,cb944d9d76ac80809f5e3d59b9d934ddde1c2197e407caf8db7a170670b479b3,polito.it,-71,25,207011995.0,116921935.0,10.0,AP-CAPETTI-TD-XP01-01,Staff,1710167415.493773,176.170.119.75.251.32,1,100,35,7,-76.0,-95.0,1,1,6,56
