,Timestamp_x,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,client_type,name_ap,class,Timestamp_y,code_ap,ch_2_4,ch_5,ch_utilization_2_4,ch_utilization_5,noise_2_4,noise_5,tx_power_2_4,tx_power_5,n_clients_2_4,n_clients_5
0,1710316240.930843,3a2c1993f22da85a8ce409353dfeab352bc68196904b67682b42cfa5c03b9a9a,72ee764036be3bead9a8cf581155a8bbe76a06d364f39f389026d4c289635db6,studenti.polito.it,-53,44,1193516.0,295726.0,10.0,AP-AULA29-03,Student,1710316253.1899817,208.114.220.176.97.192,6.0,132.0,43.0,8.0,-83.0,-96.0,6.0,4.0,0.0,17.0
1,1710316240.930843,ee3c55dcbcd536409de30444182868a5bf2b6103c698732bb91b8bf313e32813,58e266e6793685bcad195c4868f7210c313a949406695f6ac760f56254d0458c,studenti.polito.it,-46,46,5960432.0,951526.0,10.0,AP-SPECIAL-NEEDS-02,Student,1710316253.1899817,160.224.175.236.67.208,1.0,100.0,43.0,14.0,-79.0,-91.0,5.0,3.0,0.0,7.0
2,1710316240.930843,95b6ca3e577483f78cfc9383061b7f9f440d52d20843d928a527c74bb15aee69,1a6cfcb0e023224695f1be4ea6f7ef86fc7303c6c4cd4beae9a8bf50f00036e6,polito.it,-47,41,1736748.0,496955.0,10.0,AP-CIT-DAUIN2-02,Staff,1710316253.1899817,24.128.144.163.51.176,1.0,48.0,4.0,1.0,-94.0,-86.0,1.0,1.0,4.0,5.0
3,1710316240.930843,3d5ad108416a1bca641bd339086313e980b751223c262ada2a29051f5044667a,f0fcf135a9c05fbed598651504fded11b7fa79e74d658471ce39eb0aa82e1bbd,polito.it,-60,37,73277065.0,20260009.0,6.0,AP-CAPETTI-TD-XP01-01,Staff,1710316253.1899817,176.170.119.75.251.32,1.0,100.0,16.0,0.0,-93.0,-95.0,1.0,1.0,5.0,18.0
4,1710316240.930843,21861dba29c55bfa9ddcbf814496dde8946075bde11b88bbb0270a5ebab4126a,d7089b530618f72264353c5337264315363a80a4d23ce21ae68ea05ded472b9a,epfl.ch,-55,36,53149802.0,3338912.0,10.0,AP-VALE-BCA-03,External,1710316253.1899817,64.1.122.163.105.208,11.0,100.0,14.0,0.0,-94.0,-92.0,3.0,1.0,1.0,3.0
5,1710316240.930843,76d2b4bf23303908ae5e1dab8b3f3b5f51a95a423896d129479e0d98a2d4bc27,39e6756149f40075611708a91af8571b9ac158c04f70dc9a2c2b04c599a9e65e,studenti.polito.it,-64,34,265512727.0,28540285.0,6.0,AP-DISTR02,Student,1710316253.1899817,24.128.144.210.239.176,11.0,36.0,7.0,0.0,-96.0,-90.0,2.0,1.0,3.0,2.0
6,1710316240.930843,d9431bf1285791ebb7c6375635f14d76dfe888c42d76676407b2c1ba25716f17,ac3c7c8d0981b4b63d005437908827a34b8ba571a2c92b960f212c164f8a93ba,studenti.polito.it,-47,41,120358577.0,15257356.0,10.0,AP-SETTE-AULA06AM-02,Student,1710316253.1899817,132.184.2.250.204.32,11.0,44.0,2.0,0.0,-93.0,-90.0,5.0,2.0,0.0,1.0
7,1710316240.930843,d82bdb44e9431f5bdbc41d238c64dbb33ea729fe36432b50c34a82e64a2ca62d,929a7a4c60c9e0f75a1d161cc32d9e083e36d3d55420f0bccdb30c356e28e10b,polito.it,-61,30,229146.0,163824.0,10.0,AP-CIT-DET5-01,Staff,1710316253.1899817,100.246.157.177.95.32,1.0,100.0,12.0,18.0,-97.0,-87.0,2.0,1.0,0.0,2.0
8,1710316240.930843,17c5f07e929484c582f25ccc431f01b9271c559090ad64865060991c6b985b97,ad9280094a1896adaecb916f253f5a20701cf91430f0e8b0b61ccbe153a52562,studenti.unisa.it,-56,36,37439800.0,4415839.0,10.0,AP-AULA10D-03,External,1710316253.1899817,244.207.226.201.88.16,6.0,44.0,67.0,14.0,-96.0,-88.0,5.0,6.0,9.0,6.0
9,1710316240.930843,f73eda89bfd91e86da3e230c6650331b00bbbabdf513f5271bc606d7ae636c22,bd2c0a866a42661f9fd49848423ee81c67a9f58a0eb2bbefe6f9677e311acbc5,studenti.polito.it,-55,35,214635380.0,14336664.0,10.0,AP-GESD2-02,Student,1710316253.1899817,244.207.226.178.149.0,11.0,100.0,49.0,16.0,-94.0,-91.0,2.0,1.0,0.0,18.0
10,1710316240.930843,8b79e83d456505009cd8accba21eb7b0ee7e61a31403012070e2aff385315bdf,fbd05e22915f9f1a2827f0b1bf79296766cc02dcde620dd9b604a09ee8245e18,polito.it,-58,37,20407633.0,7711497.0,10.0,AP-DISMIC29,Staff,1710316253.1899817,24.128.144.205.75.224,11.0,36.0,8.0,1.0,-96.0,-90.0,5.0,4.0,2.0,2.0
