,Timestamp_x,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,client_type,name_ap,class,Timestamp_y,code_ap,ch_2_4,ch_5,ch_utilization_2_4,ch_utilization_5,noise_2_4,noise_5,tx_power_2_4,tx_power_5,n_clients_2_4,n_clients_5
0,1710323156.0838532,b58480d149fbc6cfe5bf22d36dc6b74feda46a67c3356a50ec948a3d4091ef01,b9de85410a105406bb40b09f1d807b6fc00a4cb679fe358e28b40047870317ea,studenti.polito.it,-55,28.0,331032636.0,3645273.0,6.0,AP-AULA1P-04,Student,1710323168.5316386,64.1.122.240.137.176,1,112,45,14,-75.0,-91.0,5,6,2,11
1,1710323156.0838532,eb81caac76329e3cae738f9da2fe0cd889ade065c6987692ae793edbd813d82d,f0cbbb65cad6f1871ad8d9de6619814e772d08e5715ddb9542c9e7a440a2f20c,kth.se,-47,47.0,45254561.0,5093932.0,6.0,AP-DIASP06,External,1710323168.5316386,136.29.252.43.19.112,1,64,26,85,-87.0,-95.0,1,1,25,20
2,1710323156.0838532,3a2c1993f22da85a8ce409353dfeab352bc68196904b67682b42cfa5c03b9a9a,72ee764036be3bead9a8cf581155a8bbe76a06d364f39f389026d4c289635db6,studenti.polito.it,-53,44.0,1942068.0,593469.0,10.0,AP-AULA29-03,Student,1710323168.5316386,208.114.220.176.97.192,6,132,51,18,-71.0,-95.0,6,4,1,16
3,1710323156.0838532,b9e1d8ecde63f1e36fc357691e4161940953ebfb4662388b5abbc8f41fbc4ad5,04ca946318e9a42ededbe071f8e8209d2d46b97bc1dedd0364be111502c84979,studenti.polito.it,-53,44.0,10393362.0,1671907.0,10.0,AP-AULA8D-01,Student,1710323168.5316386,0.53.26.158.46.224,6,132,0,3,,-95.0,5,4,0,16
4,1710323156.0838532,90f08fb124721368a441537a1f3702a8c8df9b3032afd39e7001bafaa8ed3421,f078749cb1699bebdf6e25b17c6e7f7559284107a1f9cf1e505557e3688143f1,studenti.polito.it,-60,36.0,5216574.0,1950750.0,6.0,AP-AULA14-02,Student,1710323168.5316386,100.246.157.120.161.48,11,64,37,1,-94.0,-95.0,5,4,3,44
5,1710323156.0838532,95b6ca3e577483f78cfc9383061b7f9f440d52d20843d928a527c74bb15aee69,1a6cfcb0e023224695f1be4ea6f7ef86fc7303c6c4cd4beae9a8bf50f00036e6,polito.it,-44,43.0,3237007.0,28676833.0,10.0,AP-CIT-DAUIN2-02,Staff,1710323168.5316386,24.128.144.163.51.176,1,48,70,75,-90.0,-85.0,1,1,6,38
6,1710323156.0838532,7a598f3acb96928bd93a114cd641f8f63151d6f66dff462beb3b89ab429969af,55971b0a1df67392fe9e512679f5a5409213ddf38d0476f49f1f729d2aaac139,studenti.polito.it,-62,29.0,23840250.0,2845199.0,10.0,AP-BOGGIO-SALASTUDIO-0,Student,1710323168.5316386,188.38.199.195.243.0,6,128,47,0,-91.0,-96.0,5,3,0,0
7,1710323156.0838532,7a598f3acb96928bd93a114cd641f8f63151d6f66dff462beb3b89ab429969af,55971b0a1df67392fe9e512679f5a5409213ddf38d0476f49f1f729d2aaac139,studenti.polito.it,-62,29.0,23840250.0,2845199.0,10.0,AP-BOGGIO-SALASTUDIO-0,Student,1710323168.5316386,188.38.199.199.203.224,1,56,53,14,-91.0,-95.0,5,3,1,14
8,1710323156.0838532,7a598f3acb96928bd93a114cd641f8f63151d6f66dff462beb3b89ab429969af,55971b0a1df67392fe9e512679f5a5409213ddf38d0476f49f1f729d2aaac139,studenti.polito.it,-62,29.0,23840250.0,2845199.0,10.0,AP-BOGGIO-SALASTUDIO-0,Student,1710323168.5316386,188.38.199.229.25.96,11,100,51,3,-85.0,-96.0,5,4,2,30
9,1710323156.0838532,85f2ba72ad81ce62d8e27b38bab29af83f07a9f507f318ccb64937e2eb6d9792,da3a5b193b1b1943510a645470dd21add604ebd4c9881cb202aceb4e2db231e3,unito.it,-60,33.0,32270.0,10394.0,10.0,AP-VALE-CHEVA07,External,1710323168.5316386,244.207.226.78.182.144,11,108,33,0,-95.0,-91.0,5,1,0,6
